stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Koodasiddanapalya,,KSDNPL,31312,Koodasiddanapalya (Towards Magadi Road),12.93285,77.37164,,
Koodasiddanapalya,,KSDNPL,33606,Koodasiddanapalya (Towards Chandrappa Circle),12.93286,77.37169,,
Koppa,,KOPP,24148,Koppa (Towards Koppa Gate),12.80449,77.62654,,
Koppa,,KOPP,24335,Koppa (Towards Koppa),12.8044,77.62647,,
Koppa Gate,,KOPG,24081,Koppa Gate (Towards Jigani),12.79639,77.61621,,
Koppa Gate,,KOPG,24229,Koppa Gate (Towards Bannerughatta Circle),12.79639,77.61586,,
Koppa Gate,,KOPG,24334,Koppa Gate (Towards Koppa),12.79644,77.61614,,
Koraluru,,KLR,31228,Koraluru (Towards Thirumashettyhalli),12.9979,77.7842,,
Koraluru,,KLR,33569,Koraluru (Towards Hosakote),12.99789,77.78411,,
Koraluru Railway Gate,,KLR1,31230,Koraluru Railway Gate (Towards Thirumashettyhalli),12.99608,77.78371,,
Koraluru Railway Gate,,KLR1,33570,Koraluru Railway Gate (Towards Hosakote),12.99608,77.78364,,
Koramangala,,KRMDVH,31234,Koramangala (Towards Avathi),13.29194,77.75104,,
Koramangala,,KRMDVH,33573,Koramangala (Towards Dodda Thathamangala),13.29201,77.75104,,
Koramangala 1st Block,,KRM1B,23894,Koramangala 1st Block (Towards Sarjapura),12.92501,77.63448,,
Koramangala 1st Block,,KRM1B1,22892,Koramangala 1st Block (Towards Bengaluru Dairy Circle),12.9249,77.63458,,
Koramangala Bus Station,,KRMDTMC,31235,Koramangala Bus Station (Towards Departure),12.94087,77.62502,,
Koramangala Bus Station,,KRMDTMC,35267,Koramangala Bus Station (Towards Koramangala Water Tank),12.94072,77.6247,,
Koramangala Bus Station,,KRMDTTMC,35100,Koramangala Bus Station (Towards Passport Office),12.9405,77.62479,,
Koramangala Kalyana Mantapa,,KKMP,23595,Koramangala Kalyana Mantapa (Towards Forum Mall),12.93724,77.61849,,
Koramangala Police Station,,KRMPS3,23594,Koramangala Police Station (Towards Forum Mall),12.94172,77.62179,,
Koramangala Police Station,,KRMPS3,24073,Koramangala Police Station (Towards Koramangala Bus Stand),12.94167,77.62151,,
Koramangala Water Tank,,KRMW1,22617,Koramangala Water Tank (Towards Koramangala Canara bank),12.92834,77.62122,,
Koramangala Water Tank,,KRMW1,23383,Koramangala Water Tank (Towards Dairy Circle),12.92754,77.62067,,
Koramangala Water Tank,,KRMWTNK,21275,Koramangala Water Tank (Towards Sarjapura),12.92749,77.62124,,
Koramangala Water Tank,,KROWT,22616,Koramangala Water Tank (Towards Koramangala Kendriya Sadana),12.92789,77.62123,,
Koratagere Doddy,,KRTD1,24309,Koratagere Doddy (Towards Shivanahalli),12.72935,77.57047,,
